timestamp,gps_lat,gps_long,power_kwh,vibration_hz,temp_c,humidity_pct,reported_co2_ppm,label,Status Note
1672549200,34.0522,-118.2437,467.1,57.7,23.4,45.4,1260.0,0,Normal - Physics Aligned
1672550100,34.0522,-118.2437,451.5,58.2,25.0,43.3,1259.0,0,Normal - Physics Aligned
1672551000,34.0522,-118.2437,471.7,60.0,20.7,51.9,1292.0,0,Normal - Physics Aligned
1672551900,34.0522,-118.2437,462.7,55.4,23.6,46.1,1247.0,0,Normal - Physics Aligned
1672552800,34.0522,-118.2437,464.1,54.6,25.0,42.0,1266.0,0,Normal - Physics Aligned
1672553700,36.1627,-115.1398,460.7,54.6,21.1,28.2,420.0,1,Anomaly - Location Spoof
1672554600,34.0522,-118.2437,453.0,53.3,24.8,42.4,1234.0,0,Normal - Physics Aligned
1672555500,34.0522,-118.2437,473.7,56.3,23.9,45.2,1280.0,0,Normal - Physics Aligned
1672556400,34.0522,-118.2437,418.3,51.6,27.0,42.3,400.0,1,Anomaly - Sensor Bagged
1672557300,34.0522,-118.2437,484.7,57.3,22.6,43.7,403.0,1,Anomaly - Sensor Bagged
1672558200,34.0522,-118.2437,452.2,51.5,24.2,44.1,1241.0,0,Normal - Physics Aligned
1672559100,34.0522,-118.2437,445.3,54.1,27.6,36.0,1223.0,0,Normal - Physics Aligned
1672560000,34.0522,-118.2437,449.8,55.7,26.1,40.4,1251.0,0,Normal - Physics Aligned
1672560900,34.0522,-118.2437,455.0,53.0,22.1,48.5,1261.0,0,Normal - Physics Aligned
1672561800,34.0522,-118.2437,476.9,58.3,24.9,42.8,1283.0,0,Normal - Physics Aligned
1672562700,34.0522,-118.2437,425.9,51.5,23.1,48.0,1232.0,0,Normal - Physics Aligned
1672563600,34.0522,-118.2437,435.1,55.6,18.6,55.5,1252.0,0,Normal - Physics Aligned
1672564500,34.0522,-118.2437,454.9,55.4,23.3,47.1,1264.0,0,Normal - Physics Aligned
1672565400,34.0522,-118.2437,439.0,55.3,22.5,47.7,1237.0,0,Normal - Physics Aligned
1672566300,36.1627,-115.1398,459.8,59.1,20.9,31.7,401.0,1,Anomaly - Location Spoof
1672567200,34.0522,-118.2437,431.5,53.6,26.0,45.5,403.0,1,Anomaly - Sensor Bagged
1672568100,34.0522,-118.2437,410.7,52.5,26.5,39.5,1203.0,0,Normal - Physics Aligned
1672569000,34.0522,-118.2437,437.8,57.7,24.8,43.3,1239.0,0,Normal - Physics Aligned
1672569900,34.0522,-118.2437,467.7,58.9,20.4,53.3,1297.0,0,Normal - Physics Aligned
1672570800,34.0522,-118.2437,492.0,59.8,24.3,42.6,1294.0,0,Normal - Physics Aligned
1672571700,34.0522,-118.2437,450.9,56.0,23.2,47.3,1261.0,0,Normal - Physics Aligned
1672572600,34.0522,-118.2437,482.2,57.6,23.1,46.5,1290.0,0,Normal - Physics Aligned
1672573500,34.0522,-118.2437,441.7,54.2,24.8,50.0,412.0,1,Anomaly - Sensor Bagged
1672574400,34.0522,-118.2437,445.8,52.5,25.4,43.3,1248.0,0,Normal - Physics Aligned
1672575300,34.0522,-118.2437,453.8,58.0,22.2,49.3,1267.0,0,Normal - Physics Aligned
1672576200,34.0522,-118.2437,417.5,51.0,22.2,49.1,1209.0,0,Normal - Physics Aligned
1672577100,34.0522,-118.2437,479.6,58.3,27.0,40.4,1290.0,0,Normal - Physics Aligned
1672578000,34.0522,-118.2437,482.1,59.7,25.3,41.3,1292.0,0,Normal - Physics Aligned
1672578900,34.0522,-118.2437,449.0,57.7,27.9,39.7,1285.0,0,Normal - Physics Aligned
1672579800,34.0522,-118.2437,450.2,54.6,27.4,38.3,1237.0,0,Normal - Physics Aligned
1672580700,34.0522,-118.2437,432.7,53.0,28.1,38.3,1223.0,0,Normal - Physics Aligned
1672581600,34.0522,-118.2437,423.1,54.1,27.7,37.8,1224.0,0,Normal - Physics Aligned
1672582500,34.0522,-118.2437,447.1,57.5,23.8,45.1,1249.0,0,Normal - Physics Aligned
1672583400,34.0522,-118.2437,455.1,55.5,24.9,44.0,1259.0,0,Normal - Physics Aligned
1672584300,34.0522,-118.2437,471.4,56.6,18.3,55.5,1278.0,0,Normal - Physics Aligned
1672585200,34.0522,-118.2437,457.5,57.7,26.4,41.1,1261.0,0,Normal - Physics Aligned
1672586100,34.0522,-118.2437,427.7,52.9,21.9,49.0,1236.0,0,Normal - Physics Aligned
1672587000,34.0522,-118.2437,455.1,55.0,18.7,56.3,1260.0,0,Normal - Physics Aligned
1672587900,34.0522,-118.2437,451.7,50.2,23.5,45.2,1236.0,0,Normal - Physics Aligned
1672588800,34.0522,-118.2437,496.2,59.4,22.0,49.0,1316.0,0,Normal - Physics Aligned
1672589700,34.0522,-118.2437,439.8,50.0,20.9,51.3,1232.0,0,Normal - Physics Aligned
1672590600,34.0522,-118.2437,433.1,52.2,24.8,45.4,399.0,1,Anomaly - Sensor Bagged
1672591500,34.0522,-118.2437,471.1,57.9,23.8,47.8,1293.0,0,Normal - Physics Aligned
1672592400,34.0522,-118.2437,445.2,52.7,24.4,44.1,1232.0,0,Normal - Physics Aligned
1672593300,34.0522,-118.2437,411.1,52.4,23.5,47.9,1215.0,0,Normal - Physics Aligned
1672594200,34.0522,-118.2437,468.6,55.4,23.8,46.3,1277.0,0,Normal - Physics Aligned
1672595100,34.0522,-118.2437,406.6,49.9,27.5,39.8,1197.0,0,Normal - Physics Aligned
1672596000,34.0522,-118.2437,448.1,56.4,25.8,40.1,1246.0,0,Normal - Physics Aligned
1672596900,34.0522,-118.2437,415.9,48.3,26.5,42.5,402.0,1,Anomaly - Sensor Bagged
1672597800,34.0522,-118.2437,485.7,59.3,24.2,44.5,1289.0,0,Normal - Physics Aligned
1672598700,34.0522,-118.2437,433.6,49.2,24.3,44.4,1207.0,0,Normal - Physics Aligned
1672599600,34.0522,-118.2437,462.5,56.7,25.9,41.9,1275.0,0,Normal - Physics Aligned
1672600500,34.0522,-118.2437,445.7,54.7,22.3,48.9,1262.0,0,Normal - Physics Aligned
1672601400,34.0522,-118.2437,474.3,57.7,25.9,40.0,1267.0,0,Normal - Physics Aligned
1672602300,34.0522,-118.2437,477.2,57.5,29.1,33.2,1279.0,0,Normal - Physics Aligned
1672603200,34.0522,-118.2437,449.2,51.8,27.4,39.6,1250.0,0,Normal - Physics Aligned
1672604100,34.0522,-118.2437,484.5,62.6,25.3,48.3,407.0,1,Anomaly - Sensor Bagged
1672605000,34.0522,-118.2437,434.7,53.6,23.5,46.7,1226.0,0,Normal - Physics Aligned
1672605900,34.0522,-118.2437,454.9,57.3,21.6,49.5,1267.0,0,Normal - Physics Aligned
1672606800,34.0522,-118.2437,418.5,51.1,29.5,34.6,1210.0,0,Normal - Physics Aligned
1672607700,34.0522,-118.2437,439.8,55.4,25.5,42.2,1237.0,0,Normal - Physics Aligned
1672608600,34.0522,-118.2437,453.4,54.6,23.6,42.6,404.0,1,Anomaly - Sensor Bagged
1672609500,34.0522,-118.2437,488.0,61.8,25.0,42.0,1301.0,0,Normal - Physics Aligned
1672610400,34.0522,-118.2437,423.4,53.0,25.9,41.2,1220.0,0,Normal - Physics Aligned
1672611300,34.0522,-118.2437,424.2,53.1,22.8,46.9,1208.0,0,Normal - Physics Aligned
1672612200,34.0522,-118.2437,438.7,53.5,22.3,48.2,1246.0,0,Normal - Physics Aligned
1672613100,34.0522,-118.2437,425.4,50.6,24.5,43.0,1212.0,0,Normal - Physics Aligned
1672614000,34.0522,-118.2437,419.8,52.3,25.1,41.8,1222.0,0,Normal - Physics Aligned
1672614900,34.0522,-118.2437,427.6,51.6,22.4,48.2,1215.0,0,Normal - Physics Aligned
1672615800,34.0522,-118.2437,442.6,55.9,26.1,41.7,1246.0,0,Normal - Physics Aligned
1672616700,34.0522,-118.2437,440.9,54.1,20.6,50.2,1224.0,0,Normal - Physics Aligned
1672617600,34.0522,-118.2437,449.9,54.4,26.1,40.5,1230.0,0,Normal - Physics Aligned
1672618500,34.0522,-118.2437,435.4,51.7,24.2,44.0,1225.0,0,Normal - Physics Aligned
1672619400,34.0522,-118.2437,488.3,60.7,24.9,43.1,1299.0,0,Normal - Physics Aligned
1672620300,34.0522,-118.2437,450.8,56.5,22.8,47.5,1249.0,0,Normal - Physics Aligned
1672621200,34.0522,-118.2437,448.1,52.6,24.5,48.9,410.0,1,Anomaly - Sensor Bagged
1672622100,34.0522,-118.2437,451.7,55.3,25.7,42.7,1268.0,0,Normal - Physics Aligned
1672623000,34.0522,-118.2437,454.0,55.5,20.3,51.7,1254.0,0,Normal - Physics Aligned
1672623900,34.0522,-118.2437,450.2,55.9,22.8,51.0,412.0,1,Anomaly - Sensor Bagged
1672624800,34.0522,-118.2437,429.5,57.4,24.5,43.9,1233.0,0,Normal - Physics Aligned
1672625700,34.0522,-118.2437,467.2,58.9,23.7,48.7,401.0,1,Anomaly - Sensor Bagged
1672626600,34.0522,-118.2437,489.3,61.5,20.8,49.6,1298.0,0,Normal - Physics Aligned
1672627500,34.0522,-118.2437,424.9,55.6,26.7,41.3,1226.0,0,Normal - Physics Aligned
1672628400,36.1627,-115.1398,425.0,47.6,20.1,30.0,403.0,1,Anomaly - Location Spoof
1672629300,34.0522,-118.2437,443.5,52.2,24.6,44.0,1236.0,0,Normal - Physics Aligned
1672630200,34.0522,-118.2437,449.6,60.9,23.4,46.8,1272.0,0,Normal - Physics Aligned
1672631100,34.0522,-118.2437,460.8,58.5,24.2,45.8,1275.0,0,Normal - Physics Aligned
1672632000,34.0522,-118.2437,396.8,47.7,22.2,47.9,1177.0,0,Normal - Physics Aligned
1672632900,34.0522,-118.2437,463.2,54.7,22.0,49.5,1274.0,0,Normal - Physics Aligned
1672633800,36.1627,-115.1398,459.7,58.3,21.3,31.6,413.0,1,Anomaly - Location Spoof
1672634700,34.0522,-118.2437,452.8,55.6,23.7,45.4,1251.0,0,Normal - Physics Aligned
1672635600,34.0522,-118.2437,420.2,51.4,23.0,46.5,1202.0,0,Normal - Physics Aligned
1672636500,34.0522,-118.2437,432.3,52.3,27.5,39.5,1221.0,0,Normal - Physics Aligned
1672637400,34.0522,-118.2437,434.8,50.0,22.5,47.7,1226.0,0,Normal - Physics Aligned
1672638300,34.0522,-118.2437,472.3,58.2,19.5,54.7,1288.0,0,Normal - Physics Aligned
1672639200,36.1627,-115.1398,446.1,53.3,21.3,28.5,398.0,1,Anomaly - Location Spoof
1672640100,34.0522,-118.2437,430.2,53.2,24.2,44.8,1228.0,0,Normal - Physics Aligned
1672641000,34.0522,-118.2437,433.8,50.0,27.8,46.5,416.0,1,Anomaly - Sensor Bagged
1672641900,34.0522,-118.2437,436.9,59.3,20.4,53.1,1269.0,0,Normal - Physics Aligned
1672642800,34.0522,-118.2437,452.4,55.5,24.3,42.9,1251.0,0,Normal - Physics Aligned
1672643700,34.0522,-118.2437,427.7,53.6,23.0,46.5,1215.0,0,Normal - Physics Aligned
1672644600,34.0522,-118.2437,415.2,52.9,23.6,45.3,1216.0,0,Normal - Physics Aligned
1672645500,34.0522,-118.2437,440.7,53.5,23.6,45.8,1249.0,0,Normal - Physics Aligned
1672646400,34.0522,-118.2437,456.0,57.5,23.3,47.1,1266.0,0,Normal - Physics Aligned
1672647300,34.0522,-118.2437,460.5,56.4,27.4,37.9,1248.0,0,Normal - Physics Aligned
1672648200,36.1627,-115.1398,479.9,58.8,21.6,28.4,410.0,1,Anomaly - Location Spoof
1672649100,34.0522,-118.2437,435.7,54.4,21.4,42.1,419.0,1,Anomaly - Sensor Bagged
1672650000,34.0522,-118.2437,477.0,58.5,26.6,37.7,1270.0,0,Normal - Physics Aligned
1672650900,34.0522,-118.2437,457.8,58.1,22.9,46.8,1266.0,0,Normal - Physics Aligned
1672651800,34.0522,-118.2437,472.8,54.9,23.1,45.5,1277.0,0,Normal - Physics Aligned
1672652700,34.0522,-118.2437,466.2,58.9,24.5,41.9,1263.0,0,Normal - Physics Aligned
1672653600,34.0522,-118.2437,493.3,58.9,29.9,32.9,1296.0,0,Normal - Physics Aligned
1672654500,34.0522,-118.2437,456.4,56.1,26.1,41.3,1260.0,0,Normal - Physics Aligned
1672655400,34.0522,-118.2437,412.8,47.4,25.6,41.5,1184.0,0,Normal - Physics Aligned
1672656300,34.0522,-118.2437,448.3,56.7,24.0,46.0,1263.0,0,Normal - Physics Aligned
1672657200,34.0522,-118.2437,419.5,50.9,24.3,46.1,1203.0,0,Normal - Physics Aligned
1672658100,34.0522,-118.2437,437.8,54.1,21.1,51.3,1238.0,0,Normal - Physics Aligned
1672659000,34.0522,-118.2437,457.9,57.0,27.8,37.7,1266.0,0,Normal - Physics Aligned
1672659900,34.0522,-118.2437,414.9,51.3,26.2,39.3,1191.0,0,Normal - Physics Aligned
1672660800,34.0522,-118.2437,456.4,55.7,22.3,49.5,1264.0,0,Normal - Physics Aligned
1672661700,34.0522,-118.2437,441.7,51.9,22.2,49.2,1224.0,0,Normal - Physics Aligned
1672662600,34.0522,-118.2437,455.2,52.2,23.6,45.5,1248.0,0,Normal - Physics Aligned
1672663500,34.0522,-118.2437,441.2,57.5,26.1,41.9,1234.0,0,Normal - Physics Aligned
1672664400,34.0522,-118.2437,481.2,58.3,26.0,40.5,1291.0,0,Normal - Physics Aligned
1672665300,34.0522,-118.2437,443.3,54.5,23.5,45.7,1246.0,0,Normal - Physics Aligned
1672666200,34.0522,-118.2437,479.4,60.3,26.1,40.3,1293.0,0,Normal - Physics Aligned
1672667100,34.0522,-118.2437,449.9,55.2,22.3,50.6,1263.0,0,Normal - Physics Aligned
1672668000,34.0522,-118.2437,453.1,58.4,22.3,47.9,1260.0,0,Normal - Physics Aligned
1672668900,34.0522,-118.2437,449.5,51.3,21.0,52.6,1246.0,0,Normal - Physics Aligned
1672669800,34.0522,-118.2437,444.1,53.9,22.7,47.4,1239.0,0,Normal - Physics Aligned
1672670700,34.0522,-118.2437,473.7,58.2,22.9,45.9,1279.0,0,Normal - Physics Aligned
1672671600,34.0522,-118.2437,438.3,54.2,21.3,51.9,1239.0,0,Normal - Physics Aligned
1672672500,34.0522,-118.2437,453.5,54.1,24.0,46.5,1268.0,0,Normal - Physics Aligned
1672673400,36.1627,-115.1398,494.4,59.3,21.4,31.8,399.0,1,Anomaly - Location Spoof
1672674300,34.0522,-118.2437,457.4,56.7,25.4,42.5,1260.0,0,Normal - Physics Aligned
1672675200,34.0522,-118.2437,470.6,54.6,24.6,42.0,1261.0,0,Normal - Physics Aligned
1672676100,34.0522,-118.2437,439.3,54.4,22.5,47.6,1239.0,0,Normal - Physics Aligned
1672677000,34.0522,-118.2437,443.3,51.7,23.2,47.3,1239.0,0,Normal - Physics Aligned
1672677900,34.0522,-118.2437,420.9,52.9,23.6,45.5,1224.0,0,Normal - Physics Aligned
1672678800,34.0522,-118.2437,450.0,56.4,25.6,43.3,1256.0,0,Normal - Physics Aligned
1672679700,34.0522,-118.2437,433.2,56.2,27.6,37.1,1214.0,0,Normal - Physics Aligned
1672680600,34.0522,-118.2437,401.3,47.0,26.2,38.7,1175.0,0,Normal - Physics Aligned
1672681500,34.0522,-118.2437,441.7,52.3,24.1,44.4,1225.0,0,Normal - Physics Aligned
1672682400,34.0522,-118.2437,466.9,53.1,27.8,39.6,1283.0,0,Normal - Physics Aligned
1672683300,34.0522,-118.2437,466.9,62.2,24.1,46.6,1306.0,0,Normal - Physics Aligned
1672684200,34.0522,-118.2437,403.9,45.4,20.3,51.2,1170.0,0,Normal - Physics Aligned
1672685100,34.0522,-118.2437,440.6,55.8,23.5,46.8,401.0,1,Anomaly - Sensor Bagged
1672686000,34.0522,-118.2437,469.6,60.9,25.6,42.7,1295.0,0,Normal - Physics Aligned
1672686900,34.0522,-118.2437,423.1,51.3,22.4,46.3,1197.0,0,Normal - Physics Aligned
1672687800,34.0522,-118.2437,474.7,57.2,25.9,42.8,1299.0,0,Normal - Physics Aligned
1672688700,34.0522,-118.2437,469.3,57.5,21.6,49.7,1273.0,0,Normal - Physics Aligned
1672689600,34.0522,-118.2437,466.0,58.2,27.9,39.2,1288.0,0,Normal - Physics Aligned
1672690500,36.1627,-115.1398,452.8,55.6,20.7,31.9,392.0,1,Anomaly - Location Spoof
1672691400,34.0522,-118.2437,470.2,59.0,27.8,38.0,1292.0,0,Normal - Physics Aligned
1672692300,34.0522,-118.2437,500.3,62.8,27.5,38.4,1316.0,0,Normal - Physics Aligned
1672693200,34.0522,-118.2437,448.5,56.2,27.5,38.3,1238.0,0,Normal - Physics Aligned
1672694100,34.0522,-118.2437,447.8,59.1,24.5,47.1,385.0,1,Anomaly - Sensor Bagged
1672695000,34.0522,-118.2437,459.9,60.1,28.8,36.6,1278.0,0,Normal - Physics Aligned
1672695900,34.0522,-118.2437,474.7,54.9,23.7,44.8,1270.0,0,Normal - Physics Aligned
1672696800,34.0522,-118.2437,430.6,53.0,22.6,46.8,1214.0,0,Normal - Physics Aligned
1672697700,34.0522,-118.2437,451.1,55.3,22.0,49.3,1246.0,0,Normal - Physics Aligned
1672698600,34.0522,-118.2437,465.3,58.1,23.5,45.4,1269.0,0,Normal - Physics Aligned
1672699500,34.0522,-118.2437,440.4,54.0,26.9,39.7,1232.0,0,Normal - Physics Aligned
1672700400,34.0522,-118.2437,473.1,57.1,24.2,45.1,1293.0,0,Normal - Physics Aligned
1672701300,34.0522,-118.2437,469.0,57.6,23.9,44.9,1270.0,0,Normal - Physics Aligned
1672702200,34.0522,-118.2437,443.1,55.0,25.6,43.7,1252.0,0,Normal - Physics Aligned
1672703100,34.0522,-118.2437,478.9,61.1,25.6,42.5,1288.0,0,Normal - Physics Aligned
1672704000,34.0522,-118.2437,431.7,51.0,21.3,50.6,1209.0,0,Normal - Physics Aligned
1672704900,34.0522,-118.2437,466.2,55.3,23.9,47.0,1289.0,0,Normal - Physics Aligned
1672705800,36.1627,-115.1398,443.7,57.0,20.5,30.9,412.0,1,Anomaly - Location Spoof
1672706700,34.0522,-118.2437,433.6,49.9,22.3,48.6,1216.0,0,Normal - Physics Aligned
1672707600,34.0522,-118.2437,461.3,57.3,19.2,53.9,1266.0,0,Normal - Physics Aligned
1672708500,34.0522,-118.2437,433.7,52.6,22.6,48.6,1226.0,0,Normal - Physics Aligned
1672709400,34.0522,-118.2437,415.5,49.0,28.4,38.4,1223.0,0,Normal - Physics Aligned
1672710300,34.0522,-118.2437,480.8,58.9,22.6,48.2,1283.0,0,Normal - Physics Aligned
1672711200,34.0522,-118.2437,416.3,49.1,25.6,46.3,407.0,1,Anomaly - Sensor Bagged
1672712100,34.0522,-118.2437,491.1,58.2,22.4,47.1,1300.0,0,Normal - Physics Aligned
1672713000,34.0522,-118.2437,450.0,52.6,25.9,43.3,1263.0,0,Normal - Physics Aligned
1672713900,34.0522,-118.2437,466.9,56.0,25.7,43.2,1278.0,0,Normal - Physics Aligned
1672714800,34.0522,-118.2437,458.6,54.6,24.1,46.5,1271.0,0,Normal - Physics Aligned
1672715700,34.0522,-118.2437,436.8,53.0,26.3,39.5,1206.0,0,Normal - Physics Aligned
1672716600,34.0522,-118.2437,433.4,54.4,18.1,54.5,1219.0,0,Normal - Physics Aligned
1672717500,34.0522,-118.2437,446.5,53.4,24.8,47.1,1257.0,0,Normal - Physics Aligned
1672718400,34.0522,-118.2437,442.4,55.6,17.8,56.1,1239.0,0,Normal - Physics Aligned
1672719300,34.0522,-118.2437,460.2,57.4,27.0,38.3,1265.0,0,Normal - Physics Aligned
1672720200,34.0522,-118.2437,474.4,55.4,23.7,45.2,1277.0,0,Normal - Physics Aligned
1672721100,34.0522,-118.2437,499.9,61.7,24.2,43.8,410.0,1,Anomaly - Sensor Bagged
1672722000,34.0522,-118.2437,490.2,61.2,23.8,43.9,1298.0,0,Normal - Physics Aligned
1672722900,34.0522,-118.2437,450.7,54.3,25.3,42.3,1239.0,0,Normal - Physics Aligned
1672723800,34.0522,-118.2437,482.4,58.6,22.1,50.2,1300.0,0,Normal - Physics Aligned
1672724700,34.0522,-118.2437,484.2,58.0,22.7,47.6,1298.0,0,Normal - Physics Aligned
1672725600,34.0522,-118.2437,447.1,53.4,19.5,54.3,1255.0,0,Normal - Physics Aligned
1672726500,34.0522,-118.2437,452.9,55.5,24.9,44.0,400.0,1,Anomaly - Sensor Bagged
1672727400,34.0522,-118.2437,425.0,51.7,19.1,52.5,1209.0,0,Normal - Physics Aligned
1672728300,34.0522,-118.2437,418.2,51.3,22.6,48.4,1215.0,0,Normal - Physics Aligned
1672729200,34.0522,-118.2437,490.4,62.0,20.8,51.9,1313.0,0,Normal - Physics Aligned
1672730100,34.0522,-118.2437,481.0,58.3,26.9,39.5,1293.0,0,Normal - Physics Aligned
1672731000,34.0522,-118.2437,422.0,55.3,22.4,48.2,1226.0,0,Normal - Physics Aligned
1672731900,34.0522,-118.2437,476.3,60.4,23.3,48.2,1301.0,0,Normal - Physics Aligned
1672732800,34.0522,-118.2437,469.9,55.7,29.3,33.8,1273.0,0,Normal - Physics Aligned
1672733700,34.0522,-118.2437,483.3,58.7,24.5,44.2,1302.0,0,Normal - Physics Aligned
1672734600,34.0522,-118.2437,442.0,53.5,23.1,46.2,1248.0,0,Normal - Physics Aligned
1672735500,34.0522,-118.2437,445.8,52.6,25.0,42.4,391.0,1,Anomaly - Sensor Bagged
1672736400,34.0522,-118.2437,454.6,56.5,26.3,49.8,406.0,1,Anomaly - Sensor Bagged
1672737300,34.0522,-118.2437,452.3,53.9,22.4,48.0,1246.0,0,Normal - Physics Aligned
1672738200,34.0522,-118.2437,450.5,57.1,21.8,49.3,1256.0,0,Normal - Physics Aligned
1672739100,34.0522,-118.2437,410.3,52.2,22.9,49.1,1212.0,0,Normal - Physics Aligned
1672740000,34.0522,-118.2437,473.9,59.0,24.4,44.5,1306.0,0,Normal - Physics Aligned
1672740900,34.0522,-118.2437,471.3,62.0,25.6,44.1,1316.0,0,Normal - Physics Aligned
1672741800,34.0522,-118.2437,484.9,58.7,24.5,42.7,1296.0,0,Normal - Physics Aligned
1672742700,34.0522,-118.2437,457.4,54.8,19.8,52.5,1244.0,0,Normal - Physics Aligned
1672743600,34.0522,-118.2437,468.5,58.0,23.4,46.3,1273.0,0,Normal - Physics Aligned
1672744500,34.0522,-118.2437,481.9,60.4,22.5,47.4,1299.0,0,Normal - Physics Aligned
1672745400,34.0522,-118.2437,460.7,53.1,25.0,45.4,1269.0,0,Normal - Physics Aligned
1672746300,34.0522,-118.2437,464.1,56.7,26.5,36.7,1227.0,0,Normal - Physics Aligned
1672747200,34.0522,-118.2437,422.7,51.9,19.3,55.9,1214.0,0,Normal - Physics Aligned
1672748100,34.0522,-118.2437,409.7,50.5,24.5,48.1,388.0,1,Anomaly - Sensor Bagged
1672749000,34.0522,-118.2437,452.5,59.0,26.3,40.7,1279.0,0,Normal - Physics Aligned
1672749900,34.0522,-118.2437,439.4,56.4,22.4,49.5,1241.0,0,Normal - Physics Aligned
1672750800,34.0522,-118.2437,450.7,58.5,21.4,49.9,1258.0,0,Normal - Physics Aligned
1672751700,34.0522,-118.2437,449.5,55.5,22.3,47.7,1240.0,0,Normal - Physics Aligned
1672752600,34.0522,-118.2437,443.7,54.6,22.3,50.3,1254.0,0,Normal - Physics Aligned
1672753500,34.0522,-118.2437,456.7,54.1,22.1,48.5,1233.0,0,Normal - Physics Aligned
1672754400,34.0522,-118.2437,446.5,55.0,21.7,48.2,1233.0,0,Normal - Physics Aligned
